"","V1","V2","V3","V4","number","cl","cll"
"1",121.026408,121.0731992,30.7100275,30.662036,0,121.0498036,30.68603175
"2",121.026408,121.0731992,30.758019,30.7100275,0,121.0498036,30.73402325
"3",121.026408,121.0731992,30.8060105,30.758019,0,121.0498036,30.78201475
"4",121.026408,121.0731992,30.854002,30.8060105,1,121.0498036,30.83000625
"5",121.026408,121.0731992,30.9019935,30.854002,37,121.0498036,30.87799775
"6",121.026408,121.0731992,30.949985,30.9019935,12,121.0498036,30.92598925
"7",121.026408,121.0731992,30.9979765,30.949985,3,121.0498036,30.97398075
"8",121.026408,121.0731992,31.045968,30.9979765,13,121.0498036,31.02197225
"9",121.026408,121.0731992,31.0939595,31.045968,8,121.0498036,31.06996375
"10",121.026408,121.0731992,31.141951,31.0939595,466,121.0498036,31.11795525
"11",121.026408,121.0731992,31.1899425,31.141951,0,121.0498036,31.16594675
"12",121.026408,121.0731992,31.237934,31.1899425,0,121.0498036,31.21393825
"13",121.026408,121.0731992,31.2859255,31.237934,0,121.0498036,31.26192975
"14",121.026408,121.0731992,31.333917,31.2859255,0,121.0498036,31.30992125
"15",121.026408,121.0731992,31.3819085,31.333917,0,121.0498036,31.35791275
"16",121.026408,121.0731992,31.4299,31.3819085,0,121.0498036,31.40590425
"17",121.026408,121.0731992,31.4778915,31.4299,0,121.0498036,31.45389575
"18",121.026408,121.0731992,31.525883,31.4778915,0,121.0498036,31.50188725
"19",121.026408,121.0731992,31.5738745,31.525883,0,121.0498036,31.54987875
"20",121.026408,121.0731992,31.621866,31.5738745,0,121.0498036,31.59787025
"21",121.0731992,121.1199904,30.7100275,30.662036,0,121.0965948,30.68603175
"22",121.0731992,121.1199904,30.758019,30.7100275,0,121.0965948,30.73402325
"23",121.0731992,121.1199904,30.8060105,30.758019,0,121.0965948,30.78201475
"24",121.0731992,121.1199904,30.854002,30.8060105,0,121.0965948,30.83000625
"25",121.0731992,121.1199904,30.9019935,30.854002,2,121.0965948,30.87799775
"26",121.0731992,121.1199904,30.949985,30.9019935,2,121.0965948,30.92598925
"27",121.0731992,121.1199904,30.9979765,30.949985,2,121.0965948,30.97398075
"28",121.0731992,121.1199904,31.045968,30.9979765,9,121.0965948,31.02197225
"29",121.0731992,121.1199904,31.0939595,31.045968,2,121.0965948,31.06996375
"30",121.0731992,121.1199904,31.141951,31.0939595,16,121.0965948,31.11795525
"31",121.0731992,121.1199904,31.1899425,31.141951,404,121.0965948,31.16594675
"32",121.0731992,121.1199904,31.237934,31.1899425,11,121.0965948,31.21393825
"33",121.0731992,121.1199904,31.2859255,31.237934,6,121.0965948,31.26192975
"34",121.0731992,121.1199904,31.333917,31.2859255,0,121.0965948,31.30992125
"35",121.0731992,121.1199904,31.3819085,31.333917,0,121.0965948,31.35791275
"36",121.0731992,121.1199904,31.4299,31.3819085,0,121.0965948,31.40590425
"37",121.0731992,121.1199904,31.4778915,31.4299,0,121.0965948,31.45389575
"38",121.0731992,121.1199904,31.525883,31.4778915,0,121.0965948,31.50188725
"39",121.0731992,121.1199904,31.5738745,31.525883,0,121.0965948,31.54987875
"40",121.0731992,121.1199904,31.621866,31.5738745,0,121.0965948,31.59787025
"41",121.1199904,121.1667816,30.7100275,30.662036,0,121.143386,30.68603175
"42",121.1199904,121.1667816,30.758019,30.7100275,0,121.143386,30.73402325
"43",121.1199904,121.1667816,30.8060105,30.758019,1,121.143386,30.78201475
"44",121.1199904,121.1667816,30.854002,30.8060105,0,121.143386,30.83000625
"45",121.1199904,121.1667816,30.9019935,30.854002,14,121.143386,30.87799775
"46",121.1199904,121.1667816,30.949985,30.9019935,5,121.143386,30.92598925
"47",121.1199904,121.1667816,30.9979765,30.949985,3,121.143386,30.97398075
"48",121.1199904,121.1667816,31.045968,30.9979765,42,121.143386,31.02197225
"49",121.1199904,121.1667816,31.0939595,31.045968,17,121.143386,31.06996375
"50",121.1199904,121.1667816,31.141951,31.0939595,8,121.143386,31.11795525
"51",121.1199904,121.1667816,31.1899425,31.141951,563,121.143386,31.16594675
"52",121.1199904,121.1667816,31.237934,31.1899425,13,121.143386,31.21393825
"53",121.1199904,121.1667816,31.2859255,31.237934,5,121.143386,31.26192975
"54",121.1199904,121.1667816,31.333917,31.2859255,197,121.143386,31.30992125
"55",121.1199904,121.1667816,31.3819085,31.333917,6,121.143386,31.35791275
"56",121.1199904,121.1667816,31.4299,31.3819085,6,121.143386,31.40590425
"57",121.1199904,121.1667816,31.4778915,31.4299,0,121.143386,31.45389575
"58",121.1199904,121.1667816,31.525883,31.4778915,0,121.143386,31.50188725
"59",121.1199904,121.1667816,31.5738745,31.525883,0,121.143386,31.54987875
"60",121.1199904,121.1667816,31.621866,31.5738745,0,121.143386,31.59787025
"61",121.1667816,121.2135728,30.7100275,30.662036,0,121.1901772,30.68603175
"62",121.1667816,121.2135728,30.758019,30.7100275,0,121.1901772,30.73402325
"63",121.1667816,121.2135728,30.8060105,30.758019,12,121.1901772,30.78201475
"64",121.1667816,121.2135728,30.854002,30.8060105,2,121.1901772,30.83000625
"65",121.1667816,121.2135728,30.9019935,30.854002,117,121.1901772,30.87799775
"66",121.1667816,121.2135728,30.949985,30.9019935,39,121.1901772,30.92598925
"67",121.1667816,121.2135728,30.9979765,30.949985,15,121.1901772,30.97398075
"68",121.1667816,121.2135728,31.045968,30.9979765,351,121.1901772,31.02197225
"69",121.1667816,121.2135728,31.0939595,31.045968,1000,121.1901772,31.06996375
"70",121.1667816,121.2135728,31.141951,31.0939595,89,121.1901772,31.11795525
"71",121.1667816,121.2135728,31.1899425,31.141951,106,121.1901772,31.16594675
"72",121.1667816,121.2135728,31.237934,31.1899425,56,121.1901772,31.21393825
"73",121.1667816,121.2135728,31.2859255,31.237934,14,121.1901772,31.26192975
"74",121.1667816,121.2135728,31.333917,31.2859255,308,121.1901772,31.30992125
"75",121.1667816,121.2135728,31.3819085,31.333917,52,121.1901772,31.35791275
"76",121.1667816,121.2135728,31.4299,31.3819085,22,121.1901772,31.40590425
"77",121.1667816,121.2135728,31.4778915,31.4299,2,121.1901772,31.45389575
"78",121.1667816,121.2135728,31.525883,31.4778915,0,121.1901772,31.50188725
"79",121.1667816,121.2135728,31.5738745,31.525883,0,121.1901772,31.54987875
"80",121.1667816,121.2135728,31.621866,31.5738745,0,121.1901772,31.59787025
"81",121.2135728,121.260364,30.7100275,30.662036,0,121.2369684,30.68603175
"82",121.2135728,121.260364,30.758019,30.7100275,0,121.2369684,30.73402325
"83",121.2135728,121.260364,30.8060105,30.758019,1,121.2369684,30.78201475
"84",121.2135728,121.260364,30.854002,30.8060105,12,121.2369684,30.83000625
"85",121.2135728,121.260364,30.9019935,30.854002,5,121.2369684,30.87799775
"86",121.2135728,121.260364,30.949985,30.9019935,4,121.2369684,30.92598925
"87",121.2135728,121.260364,30.9979765,30.949985,8,121.2369684,30.97398075
"88",121.2135728,121.260364,31.045968,30.9979765,1699,121.2369684,31.02197225
"89",121.2135728,121.260364,31.0939595,31.045968,792,121.2369684,31.06996375
"90",121.2135728,121.260364,31.141951,31.0939595,165,121.2369684,31.11795525
"91",121.2135728,121.260364,31.1899425,31.141951,79,121.2369684,31.16594675
"92",121.2135728,121.260364,31.237934,31.1899425,47,121.2369684,31.21393825
"93",121.2135728,121.260364,31.2859255,31.237934,271,121.2369684,31.26192975
"94",121.2135728,121.260364,31.333917,31.2859255,141,121.2369684,31.30992125
"95",121.2135728,121.260364,31.3819085,31.333917,282,121.2369684,31.35791275
"96",121.2135728,121.260364,31.4299,31.3819085,646,121.2369684,31.40590425
"97",121.2135728,121.260364,31.4778915,31.4299,13,121.2369684,31.45389575
"98",121.2135728,121.260364,31.525883,31.4778915,0,121.2369684,31.50188725
"99",121.2135728,121.260364,31.5738745,31.525883,0,121.2369684,31.54987875
"100",121.2135728,121.260364,31.621866,31.5738745,0,121.2369684,31.59787025
"101",121.260364,121.3071552,30.7100275,30.662036,0,121.2837596,30.68603175
"102",121.260364,121.3071552,30.758019,30.7100275,4,121.2837596,30.73402325
"103",121.260364,121.3071552,30.8060105,30.758019,1,121.2837596,30.78201475
"104",121.260364,121.3071552,30.854002,30.8060105,2,121.2837596,30.83000625
"105",121.260364,121.3071552,30.9019935,30.854002,0,121.2837596,30.87799775
"106",121.260364,121.3071552,30.949985,30.9019935,23,121.2837596,30.92598925
"107",121.260364,121.3071552,30.9979765,30.949985,26,121.2837596,30.97398075
"108",121.260364,121.3071552,31.045968,30.9979765,289,121.2837596,31.02197225
"109",121.260364,121.3071552,31.0939595,31.045968,97,121.2837596,31.06996375
"110",121.260364,121.3071552,31.141951,31.0939595,562,121.2837596,31.11795525
"111",121.260364,121.3071552,31.1899425,31.141951,253,121.2837596,31.16594675
"112",121.260364,121.3071552,31.237934,31.1899425,325,121.2837596,31.21393825
"113",121.260364,121.3071552,31.2859255,31.237934,148,121.2837596,31.26192975
"114",121.260364,121.3071552,31.333917,31.2859255,135,121.2837596,31.30992125
"115",121.260364,121.3071552,31.3819085,31.333917,289,121.2837596,31.35791275
"116",121.260364,121.3071552,31.4299,31.3819085,425,121.2837596,31.40590425
"117",121.260364,121.3071552,31.4778915,31.4299,9,121.2837596,31.45389575
"118",121.260364,121.3071552,31.525883,31.4778915,1,121.2837596,31.50188725
"119",121.260364,121.3071552,31.5738745,31.525883,0,121.2837596,31.54987875
"120",121.260364,121.3071552,31.621866,31.5738745,0,121.2837596,31.59787025
"121",121.3071552,121.3539464,30.7100275,30.662036,0,121.3305508,30.68603175
"122",121.3071552,121.3539464,30.758019,30.7100275,772,121.3305508,30.73402325
"123",121.3071552,121.3539464,30.8060105,30.758019,58,121.3305508,30.78201475
"124",121.3071552,121.3539464,30.854002,30.8060105,10,121.3305508,30.83000625
"125",121.3071552,121.3539464,30.9019935,30.854002,94,121.3305508,30.87799775
"126",121.3071552,121.3539464,30.949985,30.9019935,11,121.3305508,30.92598925
"127",121.3071552,121.3539464,30.9979765,30.949985,13,121.3305508,30.97398075
"128",121.3071552,121.3539464,31.045968,30.9979765,44,121.3305508,31.02197225
"129",121.3071552,121.3539464,31.0939595,31.045968,414,121.3305508,31.06996375
"130",121.3071552,121.3539464,31.141951,31.0939595,699,121.3305508,31.11795525
"131",121.3071552,121.3539464,31.1899425,31.141951,1253,121.3305508,31.16594675
"132",121.3071552,121.3539464,31.237934,31.1899425,376,121.3305508,31.21393825
"133",121.3071552,121.3539464,31.2859255,31.237934,985,121.3305508,31.26192975
"134",121.3071552,121.3539464,31.333917,31.2859255,666,121.3305508,31.30992125
"135",121.3071552,121.3539464,31.3819085,31.333917,18,121.3305508,31.35791275
"136",121.3071552,121.3539464,31.4299,31.3819085,131,121.3305508,31.40590425
"137",121.3071552,121.3539464,31.4778915,31.4299,8,121.3305508,31.45389575
"138",121.3071552,121.3539464,31.525883,31.4778915,13,121.3305508,31.50188725
"139",121.3071552,121.3539464,31.5738745,31.525883,0,121.3305508,31.54987875
"140",121.3071552,121.3539464,31.621866,31.5738745,0,121.3305508,31.59787025
"141",121.3539464,121.4007376,30.7100275,30.662036,0,121.377342,30.68603175
"142",121.3539464,121.4007376,30.758019,30.7100275,226,121.377342,30.73402325
"143",121.3539464,121.4007376,30.8060105,30.758019,39,121.377342,30.78201475
"144",121.3539464,121.4007376,30.854002,30.8060105,1,121.377342,30.83000625
"145",121.3539464,121.4007376,30.9019935,30.854002,2,121.377342,30.87799775
"146",121.3539464,121.4007376,30.949985,30.9019935,0,121.377342,30.92598925
"147",121.3539464,121.4007376,30.9979765,30.949985,4,121.377342,30.97398075
"148",121.3539464,121.4007376,31.045968,30.9979765,138,121.377342,31.02197225
"149",121.3539464,121.4007376,31.0939595,31.045968,113,121.377342,31.06996375
"150",121.3539464,121.4007376,31.141951,31.0939595,1972,121.377342,31.11795525
"151",121.3539464,121.4007376,31.1899425,31.141951,2963,121.377342,31.16594675
"152",121.3539464,121.4007376,31.237934,31.1899425,2718,121.377342,31.21393825
"153",121.3539464,121.4007376,31.2859255,31.237934,1965,121.377342,31.26192975
"154",121.3539464,121.4007376,31.333917,31.2859255,1029,121.377342,31.30992125
"155",121.3539464,121.4007376,31.3819085,31.333917,474,121.377342,31.35791275
"156",121.3539464,121.4007376,31.4299,31.3819085,226,121.377342,31.40590425
"157",121.3539464,121.4007376,31.4778915,31.4299,5,121.377342,31.45389575
"158",121.3539464,121.4007376,31.525883,31.4778915,1,121.377342,31.50188725
"159",121.3539464,121.4007376,31.5738745,31.525883,0,121.377342,31.54987875
"160",121.3539464,121.4007376,31.621866,31.5738745,0,121.377342,31.59787025
"161",121.4007376,121.4475288,30.7100275,30.662036,0,121.4241332,30.68603175
"162",121.4007376,121.4475288,30.758019,30.7100275,0,121.4241332,30.73402325
"163",121.4007376,121.4475288,30.8060105,30.758019,7,121.4241332,30.78201475
"164",121.4007376,121.4475288,30.854002,30.8060105,2,121.4241332,30.83000625
"165",121.4007376,121.4475288,30.9019935,30.854002,7,121.4241332,30.87799775
"166",121.4007376,121.4475288,30.949985,30.9019935,8,121.4241332,30.92598925
"167",121.4007376,121.4475288,30.9979765,30.949985,85,121.4241332,30.97398075
"168",121.4007376,121.4475288,31.045968,30.9979765,1179,121.4241332,31.02197225
"169",121.4007376,121.4475288,31.0939595,31.045968,533,121.4241332,31.06996375
"170",121.4007376,121.4475288,31.141951,31.0939595,1361,121.4241332,31.11795525
"171",121.4007376,121.4475288,31.1899425,31.141951,3565,121.4241332,31.16594675
"172",121.4007376,121.4475288,31.237934,31.1899425,7148,121.4241332,31.21393825
"173",121.4007376,121.4475288,31.2859255,31.237934,4359,121.4241332,31.26192975
"174",121.4007376,121.4475288,31.333917,31.2859255,1204,121.4241332,31.30992125
"175",121.4007376,121.4475288,31.3819085,31.333917,588,121.4241332,31.35791275
"176",121.4007376,121.4475288,31.4299,31.3819085,349,121.4241332,31.40590425
"177",121.4007376,121.4475288,31.4778915,31.4299,21,121.4241332,31.45389575
"178",121.4007376,121.4475288,31.525883,31.4778915,0,121.4241332,31.50188725
"179",121.4007376,121.4475288,31.5738745,31.525883,0,121.4241332,31.54987875
"180",121.4007376,121.4475288,31.621866,31.5738745,3,121.4241332,31.59787025
"181",121.4475288,121.49432,30.7100275,30.662036,0,121.4709244,30.68603175
"182",121.4475288,121.49432,30.758019,30.7100275,0,121.4709244,30.73402325
"183",121.4475288,121.49432,30.8060105,30.758019,0,121.4709244,30.78201475
"184",121.4475288,121.49432,30.854002,30.8060105,3,121.4709244,30.83000625
"185",121.4475288,121.49432,30.9019935,30.854002,44,121.4709244,30.87799775
"186",121.4475288,121.49432,30.949985,30.9019935,1158,121.4709244,30.92598925
"187",121.4475288,121.49432,30.9979765,30.949985,51,121.4709244,30.97398075
"188",121.4475288,121.49432,31.045968,30.9979765,178,121.4709244,31.02197225
"189",121.4475288,121.49432,31.0939595,31.045968,235,121.4709244,31.06996375
"190",121.4475288,121.49432,31.141951,31.0939595,281,121.4709244,31.11795525
"191",121.4475288,121.49432,31.1899425,31.141951,869,121.4709244,31.16594675
"192",121.4475288,121.49432,31.237934,31.1899425,9623,121.4709244,31.21393825
"193",121.4475288,121.49432,31.2859255,31.237934,8400,121.4709244,31.26192975
"194",121.4475288,121.49432,31.333917,31.2859255,3211,121.4709244,31.30992125
"195",121.4475288,121.49432,31.3819085,31.333917,962,121.4709244,31.35791275
"196",121.4475288,121.49432,31.4299,31.3819085,432,121.4709244,31.40590425
"197",121.4475288,121.49432,31.4778915,31.4299,0,121.4709244,31.45389575
"198",121.4475288,121.49432,31.525883,31.4778915,0,121.4709244,31.50188725
"199",121.4475288,121.49432,31.5738745,31.525883,0,121.4709244,31.54987875
"200",121.4475288,121.49432,31.621866,31.5738745,4,121.4709244,31.59787025
